[2026-02-08 03:12:42.354000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:13:42.349000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:14:42.357000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:15:42.326000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:16:42.351000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:17:42.357000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:18:42.344000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:19:42.356000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:20:42.778000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:21:42.311000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:22:42.326000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:23:42.310000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:24:42.311000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:25:42.319000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:26:42.311000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:27:38.314000Z] AUTH ERROR: Type: :invalid_token, Reason: :token_expired
[2026-02-08 03:27:42.323000Z] AUTH ERROR: Type: :invalid_token, Reason: :token_expired
[2026-02-08 03:27:42.354000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:28:42.322000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:29:42.315000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:30:42.339000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:31:42.342000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:32:42.316000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:33:42.329000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:34:42.349000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:35:42.355000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:36:43.570000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:37:42.325000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:38:42.826000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:39:42.321000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:40:42.321000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:41:42.314000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:42:42.366000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:42:43.492000Z] AUTH ERROR: Type: :invalid_token, Reason: :token_expired
[2026-02-08 03:43:42.331000Z] AUTH ERROR: Type: :invalid_token, Reason: :token_expired
[2026-02-08 03:43:42.369000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:44:42.361000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:45:42.325000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:46:42.355000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:47:42.354000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
[2026-02-08 03:48:42.352000Z] AUTH ERROR: Type: :unauthenticated, Reason: :unauthenticated
